x[ft],Altitude[ft],Velocity[ft/s],gamma,W,V_stall,CL,K,T_A,fuel_burn
2836989.123616136,22564.472377665552,621.0916098805587,-0.06747445038797549,375001.16772752686,357.63103541024043,0.46418073376488656,0.0003927017258672667,88942.5240197348,0.00464326259827322
2838563.5238421317,22458.079076171463,619.9517011673773,-0.06747445038797549,375001.1559254011,356.97454328292156,0.46418041964571044,0.00039218714216339553,89055.58778392551,0.0046387591606510525
2840137.9240681273,22351.685774677375,618.814839907732,-0.06747445038797549,375001.14411303075,356.3198143762551,0.4641801264274961,0.0003916744757978581,89168.75433948684,0.004634276281477122
2841712.3242941233,22245.292473183286,617.6810162830756,-0.06747445038797549,375001.13229038497,355.6668424523528,0.46417985270490664,0.00039116365400544657,89282.02270638083,0.004629813062194625
2843286.724520119,22138.899171689198,616.5502204489735,-0.06747445038797549,375001.1204574349,355.0156213007075,0.46417959717224333,0.0003906546091776774,89395.39191378558,0.004625368664851604
2844861.1247461145,22032.50587019511,615.4224425409792,-0.06747445038797549,375001.10861415364,354.3661447380475,0.4641793586151862,0.0003901472784982845,89508.86099982209,0.004620942307886459
2846435.52497211,21926.11256870102,614.2976726956593,-0.06747445038797549,375001.0967605159,353.71840660819623,0.46417913587955206,0.00038964160361248387,89622.4290105202,0.004616533262334832
2848009.9251981056,21819.719267206932,613.1759010367794,-0.06747445038797549,375001.0848964981,353.0724007819282,0.46417892789244664,0.0003891375303039567,89736.09500049913,0.004612140848052545
2849584.3254241017,21713.325965712844,612.0571176571206,-0.06747445038797549,375001.07302207826,352.42812115682955,0.4641787336902757,0.00038863500819086,89849.85803388286,0.004607764430148329
2851158.7256500972,21606.932664218755,610.9413126558184,-0.06747445038797549,375001.06113723567,351.78556165715776,0.464178552362691,0.00038813399047066754,89963.71718244383,0.004603403416096878
2852733.125876093,21500.539362724667,609.828476182179,-0.06747445038797549,375001.049241951,351.1447162337019,0.4641783829860535,0.0003876344336861828,90077.67152337458,0.004599057253109776
2854307.5261020884,21394.14606123058,608.7185982995135,-0.06747445038797549,375001.0373362063,350.505578863645,0.4641782248306587,0.00038713629742482603,90191.72014613477,0.004594725424358935
2855881.926328084,21287.75275973649,607.6116691467809,-0.06747445038797549,375001.02541998454,349.86814355042594,0.4641780771152142,0.00038663954417570914,90305.86214429858,0.004590407447645996
2857456.32655408,21181.3594582424,606.5076788486339,-0.06747445038797549,375001.01349326986,349.23240432360336,0.46417793914373395,0.0003861441390826001,90420.09662006836,0.004586102872342407
2859030.7267800756,21074.966156748313,605.406617569103,-0.06747445038797549,375001.0015560475,348.5983552387192,0.46417781022366905,0.00038565004977973716,90534.4226815262,0.004581811277587613
2860605.127006071,20968.572855254224,604.3084753948209,-0.06747445038797549,375000.9896083035,347.965990377164,0.4641776898450089,0.0003851572461601751,90648.83944859997,0.004577532269350112
2862179.5272320667,20862.179553760136,603.2132425433325,-0.06747445038797549,375000.977650025,347.33530384604313,0.464177577361022,0.0003846657003103832,90763.34604236246,0.004573265480091879
2863753.9274580623,20755.786252266047,602.1209091756806,-0.06747445038797549,375000.9656811996,346.7062897780422,0.4641774722756406,0.0003841753862691515,90877.94159461882,0.004569010565572332
2865328.3276840583,20649.39295077196,601.0314654823576,-0.06747445038797549,375000.95370181603,346.0789423312961,0.46417737411174337,0.00038368627992646157,90992.62524347664,0.00456476720384345
2866902.727910054,20542.99964927787,599.9449017006083,-0.06747445038797549,375000.9417118635,345.45325568925546,0.46417728238422057,0.00038319835890032863,91107.39613240355,0.004560535093846872
2868477.1281360495,20436.60634778378,598.8612080770928,-0.06747445038797549,375000.9297113319,344.8292240605573,0.46417719665745755,0.0003827116023961855,91222.25341213214,0.004556313953694163
2870051.528362045,20330.213046289693,597.7803748480055,-0.06747445038797549,375000.91770021187,344.20684167889345,0.4641771165763255,0.00038222599108404695,91337.19624168935,0.0045521035191895
2871625.9285880406,20223.819744795604,596.7023923630784,-0.06747445038797549,375000.90567849454,343.58610280288224,0.4641770416736599,0.00038174150705106656,91452.22378184211,0.004547903543527383
2873200.328814036,20117.426443301516,595.6272508551396,-0.06747445038797549,375000.8936461716,342.96700171593903,0.464176971728086,0.0003812581335941119,91567.33520720564,0.004543713794393748
2874774.7290400323,20011.033141807427,594.5549407051454,-0.06747445038797549,375000.88160323526,342.3495327261489,0.46417690635208386,0.0003807758552539173,91682.52969223412,0.004539534054905318
2876349.129266028,19904.63984031334,593.485452275131,-0.06747445038797549,375000.8695496782,341.7336901661391,0.46417684525146435,0.0003802946576507671,91797.80641999663,0.004535364121343088
2877923.5294920234,19798.24653881925,592.4187759715383,-0.06747445038797549,375000.85748549347,341.11946839295337,0.4641767881266448,0.0003798145274354213,91913.1645787899,0.004531203802704582
2879497.929718019,19691.853237325162,591.3549022149492,-0.06747445038797549,375000.8454106747,340.50686178792546,0.4641767347197877,0.00037933545220128153,92028.60336371597,0.004527052919610519
2881072.3299440145,19585.459935831073,590.2938214493104,-0.06747445038797549,375000.8333252157,339.89586475655506,0.46417668480034313,0.0003788574204199717,92144.12197616156,0.004522911303565736
2882646.7301700106,19479.066634336985,589.2355241344567,-0.06747445038797549,375000.82122911076,339.2864717283833,0.4641766381767456,0.0003783804213747659,92259.71962417239,0.004518778796160459
2884221.130396006,19372.673332842896,588.1800008327235,-0.06747445038797549,375000.8091223545,338.67867715686964,0.4641765945597338,0.0003779044451427171,92375.39551771578,0.004514655249034895
2885795.5306220017,19266.280031348808,587.1272420901827,-0.06747445038797549,375000.79700494185,338.072475519269,0.4641765537489337,0.0003774294824819977,92491.14887505931,0.0045105405223112216
2887369.9308479973,19159.88672985472,586.0772384725241,-0.06747445038797549,375000.784876868,337.4678613165103,0.464176515576498,0.00037695552479938526,92606.97892081137,0.004506434484281767
2888944.331073993,19053.49342836063,585.0299792861925,-0.06747445038797549,375000.77273812843,336.86482907307504,0.46417648193643263,0.00037648256348701294,92722.8849562247,0.004502337000993611
2890518.731299989,18947.100126866542,583.9854562006741,-0.06747445038797549,375000.7605887189,336.2633733368765,0.4641764510444157,0.00037601059161822617,92838.86616049505,0.004498247963580982
2892093.1315259845,18840.706825372454,582.9436602111971,-0.06747445038797549,375000.7484286354,335.6634886791409,0.46417642224149097,0.0003755396024491314,92954.92175668418,0.004494167264449598
2893667.53175198,18734.313523878365,581.9045939946591,-0.06747445038797549,375000.7362578741,335.0651696942876,0.4641763762915994,0.0003750695953310623,93071.05032573565,0.0044900948921316845
2894959.825519021,18646.914044818855,581.0142628363177,-0.06752844517544118,375000.7320724587,334.5742248921066,0.4642366347587504,0.00015684439635328578,93168.66347861683,0.0018781431849125268
2896252.1192860627,18559.514565759346,580.164608294539,-0.06752844517544118,375000.727884044,334.0849415666315,0.464236596105423,0.00015668274918987545,93264.16613226324,0.0018767404749819524
2897544.4130531037,18472.115086699836,579.3167548109195,-0.06752844517544118,375000.7236926284,333.59670521713866,0.4642365847409845,0.00015652140374449003,93359.71804780947,0.001875340364460205
2898836.706820145,18384.715607640326,578.4707204831958,-0.06752844517544118,375000.7194982103,333.10951289223414,0.4642365635114039,0.00015636036170636812,93455.31752264652,0.0018739428869489773
2900129.0005871863,18297.316128580816,577.6264926033269,-0.06752844517544118,375000.71530078823,332.62336165084776,0.46423654459075797,0.00015619961870902505,93550.96457912153,0.001872547978422422
